#名称,ChainNo,LinkNo,初期値
FINISHER_SPEED,763,1,0
FINISHER_MAJOR_VERSION,763,2,0
FINISHER_MINOR_VERSION,763,3,0
FINISHER_PATCH_VERSION,763,4,0
NVM_IPL_VERSION,763,5,0
VERSION_DOWN_INIT_ENABLE,763,6,0
IOT_EXIT_SENSOR_ACTIVE_ADJUST,763,7,0
MAX_SHEET_UNCOAT_80_STAPLE_50,763,8,50
MAX_SHEET_UNCOAT_90_STAPLE_50,763,9,50
MAX_SHEET_UNCOAT_105_STAPLE_50,763,10,30
MAX_SHEET_UNCOAT_128_STAPLE_50,763,11,25
MAX_SHEET_UNCOAT_150_STAPLE_50,763,12,20
MAX_SHEET_UNCOAT_176_STAPLE_50,763,13,15
MAX_SHEET_UNCOAT_220_STAPLE_50,763,14,10
MAX_SHEET_COAT_128_STAPLE_50,763,15,15
MAX_SHEET_COAT_150_STAPLE_50,763,16,10
MAX_SHEET_COAT_176_STAPLE_50,763,17,7
MAX_SHEET_COAT_220_STAPLE_50,763,18,5
SET_PITCH_SETTING1,763,19,-200
SET_PITCH_SETTING2,763,20,-200
READ_FLASHDATA_LOG_NUM,763,21,1
SERIAL_LOG_SELECT,763,22,0
TRANSITION_STATE,763,23,0
WAITING_MODULE_TRANSITION_STATE,763,24,0
ACTION_SEQUENCE_CONTROL,763,25,0
CAUSE_RESPONSE_UNKNOWN_PREPARATION_TIME,763,26,0
TRANSPORT_MOT_SPEED_V1,763,200,285
TRANSPORT_MOT_SPEED_V2,763,201,285
TRANSPORT_MOT_DOWN_START_T1,763,202,10
TRANSPORT_SOLENOID_PUSH_TIME_A,763,203,3
TRANSPORT_SOLENOID_PULL_TIME_B,763,204,3
TRANSPORT_SOLENOID_COUNT_C,763,205,0
NUM_STAPLE_SET,763,350,0
SHEET_WIDTH_LAST_EJECTED_SHEET,763,351,0
SHEET_LENGTH_LAST_EJECTED_SHEET,763,352,0
SHEET_WIDTH_MAXIMUM_SIZE_SHEET,763,353,0
SHEET_LENGTH_MAXIMUM_SIZE_SHEET,763,354,0
MIX_STACK,763,355,0
STACK_PAPER_LIMIT,763,356,0
STACKER_MOT_UP_COUNT,763,357,0
STACKER_MOT_DOWN_COUNT,763,358,0
ELEVATOR_MOT_PULSE_COUNT,763,359,0
LOW_PULSE_LIMIT,763,360,180
MIX_STACK_ENABLE,763,361,0
FULL_STACK_OFF_COUNT,763,362,149
MIX_FULL_STACK_POS_PULSE_LIMIT,763,363,756
L_Full_STACK_POS_PULSE_LIMIT,763,364,1512
S_Full_STACK_POS_PULSE_LIMIT,763,365,1632
FULL_STACK_POSITION1,763,366,59
FULL_STACK_POSITION2,763,367,500
CORNER_STAPLE_COUNT_N1,763,368,0
CORNER_STAPLE_MODE_COUNT_N2,763,369,65
STACKER_TRAY_DOWN_UN_STAPLE_TIMMING_T1 未使用,763,370,110
COMPILE_POSITION_H3,763,371,25
STACKER_MOT_LIFT_UP_COUNT_G1,763,372,35
STACKER_MOT_LIFT_UP_COUNT_G2,763,373,90
UN_STAPLE_STACKER_DOWN_TIMING_AT_EJECT,763,374,0
CORNER_STAPLE_STACKER_DOWN_TIMING_AT_EJECT,763,375,0
STACKER_MOT_LIFT_DOWN_COUNT_H1_1,763,376,0
STACKER_MOT_LIFT_DOWN_COUNT_H1_2,763,377,0
STACKER_MOT_LIFT_DOWN_COUNT_H2_1,763,378,300
STACKER_MOT_LIFT_DOWN_COUNT_H2_2,763,379,0
STACKER_MOT_LIFT_DOWN_COUNT_H1_3

未使用,763,380,0
STACKER_MOT_LIFT_DOWN_COUNT_H2_3

未使用,763,381,0
S_CORNER_STAPLE_STACK_SET_LIMIT,763,382,60
L_CORNER_STAPLE_STACK_SET_LIMIT,763,383,60
NUM_SET_STAPLE_POSITION,763,384,0
MAX_COMPILE_SHEET_COUNT_FOR_STAPLE_50,763,400,50
LAST_OFFSET_POSITION,763,401,0
MAX_COMPILE_SHEET_FOR_UNSTAPLE_SIZE_S,763,402,20
MAX_COMPILE_SHEET_FOR_UNSTAPLE_SIZE_L,763,403,10
TAMPING_START_SETTING1,763,404,320
TAMPING_START_SETTING2,763,405,320
TAMPING_START_SETTING3,763,406,500
TAMPING_START_SETTING4,763,407,500
TAMPING_START_SETTING5,763,408,500
TAMPING_START_SETTING6,763,409,500
SETLAST_TAMPING_START_SETTING1,763,410,320
SETLAST_TAMPING_START_SETTING2,763,411,320
SETLAST_TAMPING_START_SETTING3,763,412,400
SETLAST_TAMPING_START_SETTING4,763,413,400
SETLAST_TAMPING_START_SETTING5,763,414,400
SETLAST_TAMPING_START_SETTING6,763,415,400
SETLAST_TAMPING_NUM1,763,416,1
SETLAST_TAMPING_NUM2,763,417,1
TAMPER_RETURN_OUT_START_TIME,763,418,0
TAMPER_RETURN_IN_START_TIME,763,419,10
TAMPER_UN_STPLE_ADJST,763,420,-2
TAMPER_R_STPLE_ADJST,763,421,-4
TAMPING_ADD_PUSH_PULSE,763,422,3
TAMPING_ADD_PUSH_PAPER_COUNT,763,423,41
STAPLE_COUNT,763,424,0
STAPLER_MOT_PWM_LOW_SETTING1_1,763,425,200
STAPLE_SPEED_CHANGE,763,426,1
STAPLE_COAT_CHANGE,763,427,1
STAPLE_COUNT_DETECT_NEAR_LOW_STAPLE,763,428,0
DETECT_NEAR_LOW_STAPLE_THRESHOLD,763,429,4500
SUB_PADDLE_STOP_TIME_1,763,430,8
EJECT_SPEED_CHANGE_TIME_2,763,431,450
EJECT_COMPILE_MOTOR_STOP_PULSE,763,432,0
SET_CLAMP_UP_START_TIME_4,763,433,500
SET_CLAMP_UP_STOP_TIME_5,763,434,0
SET_CLAMP_LOWER_START_TIME_6,763,435,26
SET_CLAMP_LOWER_STOP_TIME_7,763,436,0
SUB_PADDLE_START_TIME_8_1,763,437,120
SUB_PADDLE_START_TIME_8_2,763,438,120
SUB_PADDLE_START_TIME_8_3,763,439,120
SUB_PADDLE_PROFILE_TYPE_1,763,440,2
SUB_PADDLE_PROFILE_TYPE_2,763,441,2
SUB_PADDLE_PROFILE_TYPE_3,763,442,2
SUB_PADDLE_COUNT1,763,443,2
SUB_PADDLE_COUNT2,763,444,2
SUB_PADDLE_COUNT3,763,445,5
SUB_PADDLE_COUNT4,763,446,5
SUB_PADDLE_COUNT5,763,447,5
SUB_PADDLE_COUNT6,763,448,5
SUB_PADDLE_CHANGE_COUNT_N,763,449,2
STAPLER_MOT_PWM_LOW_SETTING6_20,763,450,200
STAPLER_MOT_PWM_LOW_SETTING21_40,763,451,200
SUB_PADDLE_CHANGE_COUNT_N_2,763,452,21
SUB_PADDLE_CHANGE_COUNT_N_3,763,453,2
STACKER_MOT_LIFT_DOWN_COUNT_H1_3,763,454,0
STACKER_MOT_LIFT_DOWN_COUNT_H1_4,763,455,0
STACKER_MOT_LIFT_DOWN_COUNT_H2_3,763,456,0
STACKER_MOT_LIFT_DOWN_COUNT_H2_4,763,457,0
PAPER_SET_COUNT_N,763,458,5
TRANSPORT_MOT_DOWN_START_T1_2,763,206,10
TAMPER_SIZE_OUT_UNSTAPLE_ST_T_ADJ,763,459,65
TAMPER_SIZE_OUT_STAPLE_ST_T_ADJ,763,460,65
TAMPER_OFFSET_PUSH_PULSE,763,461,80
TRANSPORT_MOT_DOWN_START_T2_1,763,207,60
TRANSPORT_MOT_DOWN_START_T2_2,763,208,60
BEFORE_ELEVATOR_MOT_PULSE_COUNT,763,385,0
TRANSPORT_MOT_SPEED_V3,763,209,500
TRANSPORT_MOT_SPEED_V4,763,210,600
SUB_PADDLE_CHANGE_COUNT_P2,763,462,2
SUB_PADDLE_CHANGE_COUNT_N_2_B5,763,463,2
TAMPING_ADD_PUSH_PULSE_2
未使用,763,464,0
SET_PITCH_SETTING3,763,465,-200
TRANSPORT_MOT_SPEED_V5,763,466,700
TRANSPORT_MOT_DOWN_START_T1_3,763,467,10
TRANSPORT_MOT_DOWN_START_T1_4,763,468,10
TRANSPORT_MOT_DOWN_START_T2_3,763,469,60
TRANSPORT_MOT_DOWN_START_T2_4,763,470,60
TAMPER_MISSREGI_START_TIME,763,471,3
TAMPER_MISSREGI_MOT_PULSE,763,472,3
TAMPING_SETLAST_ADD_PULSE_ADJ_N,763,473,21
TAMPING_SETLAST_ADD_PULSE_5,763,474,3
TAMPING_SETLAST_ADD_PULSE_6,763,475,0
TAMPING_NORMAL_LT_CURR_CHANGE_1,763,476,10
TAMPING_NORMAL_LT_CURR_CHANGE_2,763,477,10
TAMPING_SETLAST_LT_CURR_CHANGE_1,763,478,10
TAMPING_SETLAST_LT_CURR_CHANGE_2,763,479,10
